"","NO","Kode","kabupaten","Res_tlbofgwc$cluster"
"488",488,9409,"Biak Numfor",2
"489",489,9410,"Paniai",1
"490",490,9411,"Puncak Jaya",1
"491",491,9412,"Mimika",1
"492",492,9413,"Boven Digoel",3
"493",493,9414,"Mappi",1
"494",494,9415,"Asmat",1
"495",495,9416,"Yahukimo",1
"496",496,9417,"Pegunungan Bintang",1
"497",497,9418,"Tolikara",1
"498",498,9419,"Sarmi",1
"499",499,9420,"Keerom",1
"500",500,9426,"Waropen",1
"501",501,9427,"Supiori",4
"502",502,9428,"Mamberamo Raya",1
"503",503,9429,"Nduga",1
"504",504,9430,"Lanny Jaya",1
"505",505,9431,"Mamberamo Tengah",1
"506",506,9432,"Yalimo",1
"507",507,9433,"Puncak",1
"508",508,9434,"Dogiyai",1
"509",509,9435,"Intan Jaya",1
"510",510,9436,"Deiyai",1
"511",511,9471,"Kota Jayapura",2
