NO;Kode;kabupaten;Res_fpafgwc$cluster
421;7372;Kota Parepare;3
422;7373;Kota Palopo;4
423;7401;Buton;2
424;7402;Muna;2
425;7403;Konawe;2
426;7404;Kolaka;2
427;7405;Konawe Selatan;3
428;7406;Bombana;2
429;7407;Wakatobi;3
430;7408;Kolaka Utara;3
431;7409;Buton Utara;2
432;7410;Konawe Utara;2
433;7411;Kolaka Timur;3
434;7412;Konawe Kepulauan;2
435;7471;Kota Kendari;3
436;7472;Kota Baubau;3
437;7501;Boalemo;3
438;7502;Gorontalo;2
439;7503;Pohuwato;3
440;7504;Bone Bolango;2
441;7505;Gorontalo Utara;2
442;7571;Kota Gorontalo;3
443;7601;Majene;2
444;7602;Polewali Mandar;2
445;7603;Mamasa;2
446;7604;Mamuju;2
447;7605;Mamuju Utara;3
448;7606;Mamuju Tengah;3
449;8101;Maluku Tenggara Barat;2
450;8102;Maluku Tenggara;2
451;8103;Maluku Tengah;2
452;8104;Buru;2
453;8105;Kepulauan Aru;3
454;8106;Seram Bagian Barat;1
455;8107;Seram Bagian Timur;1
456;8108;Maluku Barat Daya;1
457;8109;Buru Selatan;2
458;8171;Kota Ambon;3
459;8172;Kota Tual;2
460;8201;Halmahera Barat;2
461;8202;Halmahera Tengah;2
462;8203;Kepulauan Sula;2
463;8204;Halmahera Selatan;2
464;8205;Halmahera Utara;2
465;8206;Halmahera Timur;2
466;8207;Pulau Morotai;2
467;8208;Pulau Taliabu;3
468;8271;Kota Ternate;4
469;8272;Kota Tidore Kepulauan;3
470;9101;Fakfak;2
471;9102;Kaimana;1
472;9103;Teluk Wondama;1
473;9104;Teluk Bintuni;1
474;9105;Manokwari;2
475;9106;Sorong Selatan;2
476;9107;Sorong;2
477;9108;Raja Ampat;1
478;9109;Tambrauw;1
479;9110;Maybrat;2
480;9111;Manokwari Selatan;1
481;9112;Pegunungan Arfak;1
482;9171;Kota Sorong;3
483;9401;Merauke;3
484;9402;Jayawijaya;1
485;9403;Jayapura;2
486;9404;Nabire;3
487;9408;Kepulauan Yapen;3
488;9409;Biak Numfor;3
489;9410;Paniai;3
490;9411;Puncak Jaya;3
491;9412;Mimika;3
492;9413;Boven Digoel;1
493;9414;Mappi;3
494;9415;Asmat;3
495;9416;Yahukimo;3
496;9417;Pegunungan Bintang;3
497;9418;Tolikara;3
498;9419;Sarmi;3
499;9420;Keerom;3
500;9426;Waropen;3
501;9427;Supiori;3
502;9428;Mamberamo Raya;3
503;9429;Nduga;3
504;9430;Lanny Jaya;3
505;9431;Mamberamo Tengah;1
506;9432;Yalimo;3
507;9433;Puncak;3
508;9434;Dogiyai;3
509;9435;Intan Jaya;3
510;9436;Deiyai;1
511;9471;Kota Jayapura;4
